"CODA"
"Nomadland"
"Parasite"
"Green Book"
"The Shape of Water"
"Moonlight"
"Spotlight"
"Birdman or (The Unexpected Virtue of Ignorance)"
"12 Years a Slave"
"Argo"
"The Artist"
"The King's Speech"
"The Hurt Locker"
"Slumdog Millionaire"
"No Country for Old Men"
"The Departed"
